肖申克的救赎,导演: 弗兰克·德拉邦特 Frank Darabont,蒂姆·罗宾斯
霸王别姬,导演: 陈凯歌 Kaige Chen,张国荣
阿甘正传,导演: 罗伯特·泽米吉斯 Robert Zemeckis,汤姆·汉克斯
泰坦尼克号,导演: 詹姆斯·卡梅隆 James Cameron,莱昂纳多·迪卡普里奥
这个杀手不太冷,导演: 吕克·贝松 Luc Besson,让·雷诺
美丽人生,导演: 罗伯托·贝尼尼 Roberto Benigni,罗伯托·贝尼尼
千与千寻,导演: 宫崎骏 Hayao Miyazaki,柊瑠美
辛德勒的名单,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,连姆·尼森
盗梦空间,导演: 克里斯托弗·诺兰 Christopher Nolan,莱昂纳多·迪卡普里奥
忠犬八公的故事,导演: 莱塞·霍尔斯道姆 Lasse Hallström,理查·基尔
星际穿越,导演: 克里斯托弗·诺兰 Christopher Nolan,马修·麦康纳
楚门的世界,导演: 彼得·威尔 Peter Weir,金·凯瑞
海上钢琴师,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,蒂姆·罗斯
三傻大闹宝莱坞,导演: 拉库马·希拉尼 Rajkumar Hirani,阿米尔·汗
机器人总动员,导演: 安德鲁·斯坦顿 Andrew Stanton,本·贝尔特
放牛班的春天,导演: 克里斯托夫·巴拉蒂 Christophe Barratier,热拉尔·朱尼奥
无间道,导演: 刘伟强 / 麦兆辉,刘德华
疯狂动物城,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,"金妮弗·...<br>
"
大话西游之大圣娶亲,导演: 刘镇伟 Jeffrey Lau,周星驰
熔炉,导演: 黄东赫 Dong-hyuk Hwang,孔侑
教父,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,马龙·白兰度
当幸福来敲门,导演: 加布里尔·穆奇诺 Gabriele Muccino,威尔·史密斯
控方证人,导演: 比利·怀尔德 Billy Wilder,泰隆·鲍华
龙猫,导演: 宫崎骏 Hayao Miyazaki,日高法子
怦然心动,导演: 罗伯·莱纳 Rob Reiner,玛德琳·卡罗尔
