伊朗五百年   作者阿巴斯·阿马纳特
豹迹：与记忆有关   作者[美国] 巫鸿
唐行小姐：被卖往异国的少女们   作者[日]森崎和江
生与死：明季士大夫的抉择   作者何冠彪
历史中的人生：霍布斯鲍姆传   作者[英]理查德·埃文斯
晚清日记中的世情、人物与文学   作者张剑
胡塞尔现象学   作者丹·扎哈维
故事感   作者[加] 保罗·卢西 / Paul Lucey
罪恶捕手   作者多纳托·卡瑞西
鹊桥仙   作者萧耳
伟大的复利   作者[中]沈帅波
如何从头开始做一个苹果派：从原子起源到大爆炸，探索我们宇宙的配方   作者[英国] 哈里·克利夫
三国志·第二部 （6-10卷）   作者[日] 横山光辉
爱伦·坡诗集：插图典藏版   作者[美] 埃德加·爱伦·坡 / [法] 埃德蒙·杜拉克 图
创新思维：斯坦福设计思维方法与工具   作者蒋里 / [德] 福尔克·乌伯尼克尔
活在洪武时代：朱元璋治下的小人物命运   作者谌旭彬
上帝粒子：诺奖大师写给所有人的粒子物理趣史   作者[美] 利昂·莱德曼 / [美] 迪克·泰雷西
在绝望之巅   作者[法国] E·M·齐奥朗
榆林道   作者胡成
热情的去向：《西班牙断章》姊妹篇   作者[日本] 堀田善卫
写给星期五早上不听海的人：聂鲁达诗歌精选集   作者[智利] 巴勃罗·聂鲁达
平滑世界和它的敌人   作者[日] 伴名练
人工智能文化：日常生活与数字变革   作者（澳）安东尼·艾略特
发展的自我：自我成长中的过程与问题   作者[美] 罗伯特·凯根
重返昨日世界：从塞缪尔·约翰逊到亚当·斯密， 一群塑造时代的人   作者(美) 利奥·达姆罗施
果敢的活法   作者【美】马克·曼森
蚱蜢：游戏、生命与乌托邦   作者[美]伯纳德•舒兹
家住六朝烟水间   作者薛冰
制造消费者：消费主义全球史   作者[法]安东尼·加卢佐
被抹去的一家：北九州连环监禁杀人案   作者[日]丰田正义
沙发上的哲学家：看剧也是一种人生思考   作者[意]里克·杜菲尔 著 / [阿根廷] 丹尼尔·库埃罗 绘
最后的西南联大   作者丁元元
神奇故事的历史根源   作者弗拉基米尔·雅可夫列维奇·普罗普
冬日列车：维希政权与纳粹集中营里的法国女性   作者[英]卡罗琳·穆尔黑德（Caroline Moorehead）
宿醉：关于醉酒后第二天和寻求宿醉解药的故事   作者（加）肖内西·毕晓普-斯托尔（Shaughnessy Bishop-Stall）
玉龙雪山   作者[美] 艾尔莎·哈特
王家卫访谈录   作者李惠铭 / [英] 李沛然
孤芳自赏的尺度   作者坂田和实
她和她的群岛   作者易难
谎报：一件发生在美国的真实性侵案   作者[美] T.克里斯汀・米勒 / [美] 肯・阿姆斯特朗
宇宙之形：太空艺术博物馆   作者英国费顿出版社
深濑昌久：渐渐变成乌鸦的男人   作者[日]濑户正人
敦煌莫高窟艺术   作者常书鸿
爱的法则：100个婚恋中常用的民法典常识   作者杜志红
西游补：悟空的梦   作者董说
做自己擅长的事，还是喜欢的？：在打开招聘软件之前，先要学习7堂择业心理课   作者[奥] 阿尔约沙·诺伊鲍尔 / Aljoscha Neubauer
了不起的女子   作者侯虹斌
知识生成的图像史   作者尹吉男
母乳主义：母乳喂养的兴起和被忽视的女性选择   作者[加]考特妮·琼格
爱，死亡和机器人 2&3   作者[美国] J. G. 巴拉德 / 约翰·斯卡尔齐
